id,질문,예상답변,정답
236,캐나다에서 생굴 섭취로 인한 위장관계 질환이 몇 건 발생했나요?,"캐나다에서 생굴 섭취로 인한 구체적인 위장관계 질환 발생 건수에 대한 최신 통계 정보를 제공하기는 어렵습니다. 식중독 관련 보고는 지역과 기관에 따라 다르게 집계되며, 공개적으로 일관된 전국적인 데이터를 찾는 것이 쉽지 않습니다. 정확한 수치는 캐나다 식품 검사청(CFIA)이나 관련 보건 당국의 최신 보고서를 참조하시는 것이 가장 좋습니다.",총 221건 발생했음.
237,영국 식품기준청의 조사에 따르면 캠필로박터 고농도 오염률이 가장 낮은 소매점은 어디인가?,캠필로박터 고농도 오염률이 가장 낮은 소매점에 대한 영국 식품기준청의 구체적인 조사 결과는 제공된 정보로는 확인할 수 없습니다. 특정 소매점의 이름이나 순위에 대한 최신 데이터가 필요합니다.,"Morrisons(2.9%), Waitrose(2.7%)"
238,Hee Chang Trading Company LTD의 오징어 제품이 부적합 판정을 받은 이유는 무엇인가요?,오징어 제품이 부적합 판정을 받은 정확한 이유는 공개되지 않았습니다. 더 자세한 정보는 관련 기관에 문의하시는 것이 좋습니다.,리스테리아가 함유되어 건강에 해가 될 가능성이 있기 때문입니다.
239,Kroger Co.가 회수하는 Deli Chicken Salad Sandwich의 판매 기간은 언제인가요?,Kroger Co.의 Deli Chicken Salad Sandwich 회수 판매 기간에 대한 구체적인 정보가 공개되지 않았습니다. 정확한 날짜는 알려져 있지 않습니다.,2017년 9월 20일부터 9월 28일까지입니다.
240,켄터키주에서 발생한 A형 간염의 유전자형은 무엇과 일치하는가?,켄터키주에서 발생한 A형 간염의 유전자형은 HEV-D6와 일치합니다.,캘리포니아에서 발생한 A형 급성 간염 관련 유전자형과 일치함.
241,Nutty INFUSIONS Roasted Cashew Butter의 회수 이유는 무엇인가요?,회수 이유는 구체적인 정보가 제공되지 않았기 때문에 정확히 알 수 없습니다. 일반적으로 안전 문제나 제품 품질 관련 이슈로 회수가 이루어질 수 있습니다. 정확한 사유는 제조사나 관련 당국의 공식 발표를 참고하셔야 합니다.,리스테리아 모노사이토제네스 오염 가능성
242,Meijer Artisan Made Natural Muenster Cheese의 회수 사유는 무엇인가요?,"회수 사유는 구체적인 정보가 제공되지 않아 명시할 수 없습니다. 제품 회수는 보통 유통기한 경과, 미생물 오염, 포장 문제 등으로 발생합니다. 정확한 사유를 알고 싶으시다면 해당 제품의 공식 리콜 공지를 참조하시는 것이 좋습니다.",리스테리아 모노사이토제네스 오염 가능성
243,독일에서 H5N8 조류 인플루엔자가 처음 발생한 날짜는 언제인가요?,독일에서 H5N8 조류 인플루엔자가 처음으로 공식적으로 확인된 날짜는 2017년 1월입니다. 하지만 정확한 첫 발생 날짜는 공개 자료에서 명확히 제시되지 않았습니다.,2016년 11월 7일
244,호주 농업수자원부가 활새우 수입을 금지한 이유는 무엇인가?,활새우 수입 금지는 주로 환경적 영향과 현지 새우 어업에 대한 경쟁 압박 때문입니다.,브리즈번 남부 지역의 새우 양식 농가 5곳에서 치명적인 백점병이 창궐했기 때문임.
245,Givaudan Flavours Corp가 회수하는 제품의 로트번호는 무엇인가요?,제공된 정보로는 Givaudan Flavours Corp가 특정 로트번호의 제품을 회수하는지에 대한 구체적인 내용을 알 수 없습니다. 추가 정보가 필요합니다.,"DV00187909, DV001900068, DV00192593"
246,유럽집행위원장 장 클로드 융커는 어떤 문제를 해결하겠다고 밝혔나요?,유럽집행위원장 장 클로드 융커는 기후변화에 대응하기 위한 문제를 해결하겠다고 밝혔습니다.,장 클로드 융커는 유럽 내 식품의 이중 품질 기준 문제를 해결하겠다고 밝혔습니다.
247,Pro Pharma 100% Whey High Protein Powder Food Supplement의 회수 사유는 무엇인가요?,회수 사유는 제품에 대한 구체적인 정보나 공식 발표가 제공되지 않았기 때문에 특정 사유를 명시할 수 없습니다. 정확한 회수 사유를 알고 싶으시다면 제조사나 관련 당국에 문의하시는 것이 좋습니다.,알레르기 유발성분 대두 및 우유 미표시
248,Meijer Honey Vanilla Bourbon Pecans 제품의 회수 사유는 무엇인가요?,회수 사유는 제품에서 부적합한 금속 성분이 검출되었기 때문입니다.,"표시오류로 인해 회수되었습니다. 제품 라벨에 크림, 우유, 달걀이 포함되어 있다고 표시되었으나 실제로는 포함되어 있지 않으며, 여러 성분이 미표시되었습니다."
249,"미국에서 코카콜라, 펩시코, 닥터 페퍼 스네이플 그룹을 상대로 제기된 소송의 주요 쟁점은 무엇인가?",소송의 주요 쟁점은 주로 독점 행위와 시장 지배력을 이용한 불공정 경쟁 행위였습니다.,소송의 주요 쟁점은 다이어트 소다에 사용된 아스파탐이 체중 감량에 도움이 되지 않는다는 연구 결과와 관련하여 소비자를 오도했다는 주장이다.
250,Oberlander Bakery Chocolate Kokosh Cake의 회수 이유는 무엇인가요?,"회수 이유에 대한 구체적인 정보가 제공되지 않았습니다. 제품의 안전성 문제나 품질 기준 미충족 등이 일반적인 회수 사유입니다만, Oberlander Bakery Chocolate Kokosh Cake의 특정 회수 이유를 알려드리기 어렵습니다. 정확한 사유는 제조사나 관련 기관에 문의하시는 것이 좋습니다.",미표시 알레르기 유발물질(아몬드 페이스트) 혼입 가능성
251,Oxford Frozen Foods Plant 1에서 회수한 양파튀김의 회수 사유는 무엇인가요?,"회수 사유에 대한 구체적인 정보가 제공되지 않았습니다. 정확한 사유를 알려주시면 감사하겠습니다. 만약 일반적인 경우라면, 보통은 품질 문제나 오염 때문일 수 있습니다. 하지만 특정한 경우에 대해서는 확인이 필요합니다.",알레르기 유발성분인 우유가 표시되지 않았기 때문입니다.
252,U-Can Food Trading Inc가 회수 중인 Sugar Crackers의 회수 사유는 무엇인가?,U-Can Food Trading Inc가 회수 중인 Sugar Crackers의 구체적인 회수 사유는 공개되지 않았습니다. 다만 유사 사례에서는 유통기한 경과 또는 제품 결함이 사유로 알려져 있습니다. 정확한 사유는 관련 공시나 공식 발표를 참고해야 합니다.,알레르기 유발성분인 대두 미표시
253,Krisppe Products Co.의 조리믹스 제품 회수 이유는 무엇인가요?,Krisppe Products Co.의 조리믹스 제품 회수 이유는 알려주지 않았습니다. 구체적인 회수 사유는 공식 발표를 통해 확인해야 합니다.,알레르기 유발성분인 우유 미표시
254,"CHEIL GENERAL FOOD IND.,CO.의 생강 청량음료가 미국 FDA에 의해 부적합 판정을 받은 이유는 무엇인가요?","CHEIL GENERAL FOOD IND.,CO.의 생강 청량음료가 미국 FDA에 의해 부적합 판정을 받은 정확한 이유는 공개되지 않았습니다. 그러나 일반적으로 식품 부적합 판정은 안전성 문제, 라벨링 오류, 품질 기준 미충족 등이 원인일 수 있습니다. 정확한 사유는 공식 발표를 통해 확인해야 합니다.","CHEIL GENERAL FOOD IND.,CO.의 생강 청량음료는 라벨에 제조업체 정보가 누락되고, 요구된 영양정보가 표시되지 않았으며, 미승인 신약으로 간주되어 부적합 판정을 받았습니다."
255,PULMUONE PRODUCT EXCELLENT CENTE의 면류 제품이 부적합 판정을 받은 이유는 무엇인가요?,PULMUONE PRODUCT EXCELLENT CENTE의 면류 제품이 부적합 판정을 받은 정확한 이유에 대해서는 공개된 정보에서 명확히 제시되지 않았습니다. 구체적인 판정 사유는 관련 기관의 공식 발표를 참고해야 합니다.,"라벨 위치, 형태 및/또는 내용이 공정포장표시법에 부합하지 않음."
256,"WELLFARM CO., LTD.의 제품이 미국 FDA에 의해 부적합 판정을 받은 이유는 무엇인가요?","WELLFARM CO., LTD. 제품이 미국 FDA에 의해 부적합 판정을 받은 구체적인 이유에 대한 공식 발표는 공개되지 않았습니다. 정확한 사유는 해당 기관의 내부 검토 결과에 따라 결정됩니다.","WELLFARM CO., LTD.의 제품은 영양정보를 라벨에 표시하지 않아 부정표시된 품목으로 간주되었고, 미승인 신약으로 판정받았습니다."
257,세계 항생제 인식 주간은 언제 시작되나요?,세계 항생제 인식 주간은 매년 9월 첫 번째 화요일부터 시작됩니다.,2017년 11월 13일에 시작됩니다.
258,젠테크 제약사가 판매한 식이보충제에 포함된 불법 성분은 무엇인가?,"젠테크 제약사의 식이보충제에서 발견된 불법 성분은 구체적인 사례나 최근 정보가 제공되지 않아 정확히 말씀드리기 어렵습니다. 일반적으로 이런 경우에는 스테로이드나 금지된 호르몬 유사물질 등이 포함될 수 있습니다. 정확한 성분에 대해서는 최신 공식 발표를 참고하시는 것이 가장 좋습니다. 만약 특정 사례에 대해 알고 싶으시다면, 그에 대한 구체적인 정보를 제공해 주시기 바랍니다.",DMAA
259,UN 보고서에 따르면 전 세계 인구 중 항생제 내성 계획을 마련했거나 마련 중인 국가에 거주하는 인구는 몇 명인가?,"UN 보고서에 따라 정확한 숫자는 공개되지 않았지만, 많은 국가들이 항생제 내성 대응 계획을 마련 중이라는 점은 확인되었습니다. 구체적인 인구 수는 제공되지 않았습니다.",65억 명
260,캐나다 보건부가 경고한 해외 불법 식이보충제는 어떤 성분을 포함하고 있나요?,캐나다 보건부가 경고한 해외 불법 식이보충제는 주로 스테로이드 성분인 '아나볼'을 포함하고 있습니다.,"캐나다 보건부가 경고한 해외 불법 식이보충제는 타다라필, 실데나필, N-데스메틸 타다라필, 레보도파, 노르타다라필, 데스카르본실데나필, 호모실데나필 등의 성분을 포함하고 있습니다."
261,미국 환경실무단과 노스이스턴대학교가 발표한 자료에 따르면 과불화합물이 검출된 공공급수시설은 몇 곳인가?,미국 환경실무단과 노스이스턴대학교의 자료에 따르면 과불화합물이 검출된 공공급수시설은 19곳입니다.,162개 공공급수시설에서 검출되었음.
262,미국 공익과학센터가 맥도날드에 중단을 촉구한 첨가물은 무엇인가?,미국 공익과학센터는 맥도날드에 **인공감미료** 사용 중단을 촉구했습니다.,"보존료 BHA, 합성 감미료 아스파탐, 적색 40호와 같은 합성색소"
263,스코틀랜드 식품기준청이 피프로닐과 관련하여 추가로 회수한 제품은 몇 개인가?,스코틀랜드 식품기준청이 피프로닐과 관련하여 추가로 회수한 제품의 정확한 수는 제공된 정보로는 명시되지 않았습니다. 구체적인 숫자는 확인이 필요합니다. 하지만 일반적인 절차로는 회수된 제품 수를 명확히 공지합니다. 정확한 숫자를 알려드리기 위해서는 최신 공식 발표를 참조해야 합니다.,4개 제품이 추가로 회수되었음.
264,미국 환경보호청이 클로르피리포스 사용 금지를 철회한 이유는 무엇인가?,미국 환경보호청은 클로르피리포스의 사용 금지 철회 이유에 대해 공개적으로 명확한 선언을 하지 않았습니다.,해당 문서에 없음
265,네덜란드 세관이 압류한 DNP 함유 제품은 어디에서 들어왔나요?,네덜란드 세관이 압류한 DNP 함유 제품은 주로 중국에서 수입되었습니다.,홍콩에서 소포우편을 통해 들어왔다고 밝혔음.
266,캐나다 보건부가 토론토에서 압류한 미승인 성기능 강화 제품 중 'Rush Hour 72'에는 어떤 성분이 포함되어 있나요?,"'Rush Hour 72'의 정확한 성분 구성은 공개되지 않았지만, 미승인 성기능 강화 제품들은 일반적으로 합성 아드라늄(synthetic adrenaline)이나 다른 자극성 성분들을 포함할 가능성이 큽니다. 정확한 성분 목록은 공식 발표를 통해 확인해야 합니다.","실데나필, 타다라필, 데스메틸 카르보데나필, 디치오데스메틸 카르보데나필"
267,프린스에드워드섬 연어 협회는 아쿠아바운티의 신설 공장에 대해 어떤 조치를 요구하고 있나요?,프린스에드워드섬 연어 협회는 아쿠아바운티의 신설 공장에 대해 어업에 부정적인 영향을 미칠 수 있으니 주의 깊게 검토하라고 요구하고 있습니다.,프린스에드워드섬 연어 협회는 아쿠아바운티의 신설 공장에 대해 연방 정부에 위해 평가를 전면 실시해야 한다고 주장했습니다.
268,캐나다에서 2017년에 파종될 예정인 GM 감자 품종은 무엇인가?,2017년 캐나다에서 파종될 예정인 GM 감자 품종에 대한 구체적인 정보는 공개 자료에서 명확하게 확인되지 않습니다. 정확한 품종 정보는 해당 연도의 농업 보고서나 기업 발표를 통해 확인 가능합니다.,"러셋 벌뱅크, 랭져 러셋, 애틀란틱, 스노우덴"
269,유럽집행위원회는 GM대두 DAS-44406-6 시판 신청에 대한 의견수렴을 언제까지 진행하나요?,유럽집행위원회는 GM대두 DAS-44406-6 시판 신청에 대한 의견수렴을 **2023년 12월 22일까지** 진행합니다.,2017년 4월 24일까지 진행할 예정임.
270,캐나다에서 유전자변형 연어가 판매된 양은 얼마인가?,캐나다에서 판매된 유전자변형 연어의 정확한 양은 공식 통계에서 명확하게 공개되지 않았습니다.,5톤
271,캐나다 환경부 장관이 유전자변형 연어 프로젝트에 대해 요구한 것은 무엇인가?,캐나다 환경부 장관은 유전자변형 연어 프로젝트가 야생 연어에 미칠 영향에 대한 철저한 위험 평가를 요구했습니다.,캐서린 멕케나 캐나다 환경부 장관은 프린스에드워드섬에서 유전자변형 연어를 생산하려는 계획에 대해 엄격한 평가 요건을 적용해야 한다고 밝혔다.
272,캐나다 환경단체들이 GM 연어 부화장 증축에 대해 우려하는 이유는 무엇인가?,캐나다 환경단체들은 GM 연어 부화장 증축에 대해 유전적 오염 위험과 생태계 불균형 우려 때문에 우려하고 있습니다.,"GM 연어가 탈출하여 야생 연어와 교배하면 야생 연어의 유전자 구성이 바뀌고, 야생 연어와 경쟁할 수 있기 때문이다."
273,사우스오스트레일리아에서 GM 작물 재배 금지가 언제까지 연장될 예정인가요?,"사우스오스트레일리아의 GM 작물 재배 금지 연장 기간에 대한 구체적인 종료 예정일은 공개 자료에서 명확하게 제시되어 있지 않습니다. 정책 변경 사항은 주기적으로 업데이트되므로, 가장 정확한 정보를 위해서는 사우스오스트레일리아 농업부 웹사이트를 확인하시는 것이 좋습니다.",2025년까지 연장될 것으로 예상됨.
274,유전자 편집 양구슬냉이를 개발한 기술은 무엇인가?,유전자 편집 양구슬냉이 개발 기술은 CRISPR-Cas9 기술입니다.,'CRISPR'라는 기술로 특정 유전자를 제거해 유지가 많이 생성되게 만들었다고 전했음.
275,Okanagan Specialty Fruits 사가 개발한 아틱 애플은 어떻게 갈변을 억제하나요?,아틱 애플은 갈변을 억제하기 위해 특수한 가공 기술을 사용합니다.,유전자 절단(gene silencing) 기술을 사용하여 과육이 갈색으로 변하게 만드는 효소인 폴리페놀 산화효소가 적게 생산되도록 만들어졌습니다.
276,우간다에서 GMO 바나나 시범 재배의 주된 목적은 무엇인가?,우간다에서 GMO 바나나 시범 재배의 주된 목적은 병충해 저항성 향상 및 생산성 증대입니다.,각기 다른 농업 생태계 구역에서 세균성 시들음병에 내성을 보이는지 확인하는 것과 프로 비타민 A가 함유될 수 있게 만드는 것이다.
277,국제원자력기구 전문가들이 후쿠시마 원전 인근을 방문하는 주된 목적은 무엇인가?,후쿠시마 원전 인근 방문의 주된 목적은 방사능 오염 상황을 평가하고 안전 관리 방안을 검토하기 위함이다.,"후쿠시마현의 해수, 해양 퇴적물, 어류 샘플 수집을 통해 방사능 데이터 수집 및 분석의 품질 보증을 지원하기 위함이다."
278,유럽식품안전청의 MUST-B 워킹 그룹은 꿀벌 건강을 위해 어떤 데이터를 수집하려고 하나요?,"유럽식품안전청의 MUST-B 워킹 그룹은 꿀벌의 질병, 해충, 환경 요인, 행동 변화 및 유전적 다양성 관련 데이터를 수집하려고 합니다.","필드 데이터 수집에 대한 요구 조건을 마무리 지었으며, 데이터 유형 및 수집 방법을 제시하고 있음."
279,캐나다 노바스코샤 해안가에서 폐사한 어류의 원인은 무엇인가?,"노바스코샤 해안가에서 폐사한 어류의 원인은 명확하게 밝혀지지 않았지만, 해양 온도 상승과 수질 오염이 주요 요인으로 지목되고 있습니다.",해당 문서에 없음
280,유럽경제사회위원회는 어떤 조치를 통해 지속가능한 식품 시스템으로 전환하려고 하나요?,"유럽경제사회위원회는 지속가능한 농업 실천 촉진, 식품 낭비 감소 정책 도입, 환경 친화적 생산 및 유통 시스템 구축 등을 통해 지속가능한 식품 시스템으로의 전환을 추진하고 있습니다.","EESC는 식품의 영양 및 문화적 가치 유지 및 촉진, 생산자와 소비자 간의 긴밀한 관계 수립, 생산자를 위한 공정한 가격 보장, 지역 수준에서 시민사회이니셔티브 활성화를 위한 환경 구축, 지속가능한 식품을 위한 행동 계획 개발, 식품 관련 정책, 관련 규정, 입법 및 집행을 담당하는 식품 총국 개설 고려 등의 조치를 통해 지속가능한 식품 시스템으로 전환하려고 합니다."
281,이집트 소하그 주에서 발생한 식중독의 원인으로 추정되는 음식은 무엇인가?,"이집트 소하그 주에서 발생한 식중독의 원인으로 추정되는 음식은 아직 공식적으로 특정되지 않았지만, 주로 오염된 채소나 육류가 원인으로 지목되고 있습니다.","가공 치즈 큐브, 건조 깨 페이스트 바, 빵으로 구성된 점심식사가 오염된 것으로 추정됨."
282,영국 식품기준청의 데이터 과학 활용 목표는 무엇인가?,"영국 식품기준청은 데이터 과학을 활용하여 식품 안전 모니터링을 강화하고, 위험을 예측하며, 효율적인 규제를 시행하는 것을 목표로 합니다.",데이터 과학이 데이터 주도 조직으로 변모한다는 영국 식품기준청의 핵심 목표를 달성하는 데 도움을 주는 것이다.
283,유럽의회는 식품 폐기물 문제 해결을 위해 어떤 조치를 제안하고 있나요?,유럽의회는 식품 폐기물 감소를 위해 '폐기물 프레임워크 지침' 개정을 제안하고 있습니다. 이 지침은 식품 낭비를 줄이고 재활용을 촉진하는 데 초점을 맞춥니다.,"유럽의회는 식품 기부 촉진과 같은 식품 폐기물 감소를 위한 제안들을 포함하고 있으며, 유럽집행위원회에 식품 기부에 대한 세금 면제를 위해 현행 VAT 시스템 개정을 촉구하고 있습니다."
284,영국 식품기준청 이사회에서 논의된 '우리의 미래 규제' 프로그램은 무엇인가요?,영국 식품기준청 이사회에서 논의된 '우리의 미래 규제' 프로그램은 식품 안전과 품질 관리를 위한 새로운 규제 접근 방식을 개발하고 시행하기 위한 프레임워크입니다.,해당 문서에 없음
285,2016년 RASFF 연차보고서에 따르면 경보 건수는 몇 건이었나요?,2016년 RASFF 연차보고서에 따르면 경보 건수는 **85건**이었습니다.,847건
286,세계동물보건기구(OIE)가 채택한 동물 복지 글로벌 전략의 주요 특징은 무엇인가?,"동물 복지 글로벌 전략의 주요 특징은 동물 질병의 예방과 통제를 강화하고, 동물 복지 향상과 지속 가능한 사료 생산을 촉진하며 국제 협력을 강화하는 것입니다.","OIE 글로벌 전략은 국제적인 동물 복지 기준 개발, 수의학 서비스의 역량 구축 및 교육 강화, 동물 복지에 대한 인식 제고를 위한 커뮤니케이션, 동물 복지 및 관련 정책에 대한 OIE 기준의 점진적 이행이라는 4가지 특징을 바탕으로 한다."
287,영국인의 평균 음주량은 암 발병 위험 기준을 초과했나요?,"영국인의 평균 음주량이 암 발병 위험 기준을 초과했는지에 대한 구체적인 통계 자료를 현재 제공받지 못했습니다. 일반적으로 과도한 음주는 암 위험을 증가시키지만, 정확한 비교는 해당 연구의 기준과 영국인의 평균 음주량 수치에 따라 달라집니다.","네, 영국인의 일일 평균 주류 섭취량은 2.1잔으로, 이는 대장암 및 식도암 진단 위험을 증가시키는 기준인 일일 2잔을 초과합니다."
288,CETA 발효로 인해 유럽 식음료 제품에 어떤 변화가 있을까?,"CETA 발효로 유럽 식음료 제품의 한국 내 관세가 철폐되어 가격 경쟁력이 향상되고, 수입량 증가와 더불어 소비자 선택의 다양성이 확대될 것입니다.","CETA 발효로 캐나다 관세가 철폐되고 유럽 식음료 제품이 캐나다 시장에 개방되며, 거래되는 재화에 대한 관세가 거의 99% 철폐될 것이다."
289,미국 소비자들이 유기농 달걀에 대해 중요하게 여기는 점은 무엇인가?,미국 소비자들은 유기농 달걀에 대해 동물 복지와 환경 친화적인 농법 사용 여부를 중요하게 여깁니다.,소비자 중 83%는 유기농 달걀이 옥외활동이 가능하고 충분한 사육 공간에서 길러진 암탉이 낳은 것임을 중요하게 여긴다고 답했다.
290,미국과 영국의 농업 부문 통상 협상에서 논의된 주요 우려 사항은 무엇인가?,미국과 영국의 농업 부문 통상 협상에서 논의된 주요 우려 사항은 농산물 수입 증가에 따른 국내 농업 생산자들의 경쟁력 약화와 시장 점유율 감소였다.,유럽연합에서 금지하고 있는 계육 도체의 염소 사용 등 영국과 미국의 식품 안전 기준이 상이한데 대한 우려가 존재함.
291,영국 식품기준청이 환영한 식음료 분야 자문위원회의 초기 작업은 무엇인가?,영국 식품기준청이 환영한 식음료 분야 자문위원회의 초기 작업은 식품 안전과 품질 향상을 위한 기준 설정 및 검토였습니다.,자문위원회의 초기 작업은 수출 변화를 지원하고 지속가능한 농업과 식품 제조 분야의 독특한 혁신 기회를 활용하는 것을 포함해 식음료 제조 업계를 위한 제안 사항을 구축하는 것임.
292,브라질 외무부는 인도네시아에 닭고기를 언제부터 수출할 수 있을 것으로 예상하고 있나요?,브라질 외무부가 인도네시아에 대한 닭고기 수출 재개 시기를 정확히 명시한 공식 발표는 확인되지 않았습니다.,브라질 외무부는 내년부터 인도네시아에 닭고기를 수출할 수 있을 것으로 보고 있습니다.
293,유타주에서 푸드트럭이 하나의 면허증으로 지역을 이동할 수 있게 된 이유는 무엇인가?,유타주는 푸드트럭 사업자들에게 더 큰 이동 자유를 제공하여 사업 운영 효율성을 높이고 다양한 지역에서 고객에게 서비스를 제공할 수 있도록 하기 위해 하나의 면허증으로 지역 이동을 허용하고 있다.,유타주에서는 내달부터 시행될 새로운 법률에 따라 푸드트럭이 하나의 면허증을 가지고 지역을 이동할 수 있게 되었기 때문이다.
294,한국은 계란 수급 문제를 해결하기 위해 어떤 조치를 취했나요?,"한국은 계란 수급 문제 해결을 위해 산란계 농가 지원, 수입 계란 규제 강화 등의 조치를 취했습니다.","한국은 수입 계란에 대한 관세를 책정하지 않기로 했으며, 6월 30일까지 총 98,600 톤에 달하는 신선란과 액란, 난분을 포함한 8개 품목에 이를 적용하기로 했습니다."
295,필라델피아 시의 가당음료세가 맥주보다 얼마나 높은가?,필라델피아 시의 가당음료세는 맥주세의 두 배입니다.,필라델피아 시의 가당음료 세액은 맥주보다 24배 높다.
296,유럽 집행위원회는 채식주의와 완전채식 식품의 법정 정의를 언제부터 마련할 예정인가요?,유럽 집행위원회는 2024년부터 채식주의와 완전채식 식품의 법정 정의를 마련할 예정입니다.,2019년부터 마련할 예정입니다.
297,인도 대법원이 소 도축 금지 조치를 해제한 이유는 무엇인가?,인도 대법원이 소 도축 금지 조치를 해제한 이유는 주로 경제적 자유와 농업 생산성 향상을 위한 것이었다.,중앙정부가 규칙 변경에 대한 의견을 수렴하기까지 금지 조치를 해제하였음.
298,캐나다 식품 정책 마련을 위한 회의는 언제까지 국민들의 의견을 모으는가?,캐나다 식품 정책 마련을 위한 회의의 국민 의견 수렴 기간에 대한 구체적인 마감일 정보는 제공된 문맥에서 확인되지 않습니다. 정확한 기간을 알고 싶으시다면 관련 공식 발표나 공고를 참조하시는 것이 좋습니다.,오는 7월 27일까지 국민들의 의견을 모으고 있음.
299,러시아가 EU산 돼지고기 수입을 금지한 이유는 무엇인가?,러시아가 EU산 돼지고기 수입을 금지한 이유는 아프리카돼지열병(ASF) 확산 방지입니다.,벨라루스와 국경을 접한 EU 지역에서 아프리카 돼지 열병(ASF) 발생을 이유로 러시아가 수입을 금지조치했다.
300,National Sugar Marketing LLC가 회수 중인 설탕의 제품명은 무엇인가요?,현재 공개된 정보로는 National Sugar Marketing LLC가 회수 중인 특정 설탕 제품명을 정확히 알려드리기 어렵습니다. 자세한 제품명은 공식 발표나 관련 뉴스를 통해 확인해 주시기 바랍니다.,"NSM, Extra Fine Granulated Sugar, Net Wt. 50 lbs. (22.7 kg)"
301,"WOORI FOOD .,LTD.의 콘칩이 미국 FDA에 의해 부적합 판정을 받은 이유는 무엇인가?","WOORI FOOD.,LTD.의 콘칩이 미국 FDA에 의해 부적합 판정을 받은 구체적인 이유는 공개되지 않았습니다. 정확한 원인은 공식 발표를 통해 확인해야 합니다.",유해 색소첨가물이 포함되었을 가능성이 있어 부적합 판정을 받았다.
302,미국 항소법원이 환경보호청에 클로르피리포스를 금지하라고 명령한 이유는 무엇인가?,"클로르피리포스의 사용이 인체 건강과 환경에 심각한 위협을 가하며, 특히 신경계에 해로운 영향을 미친다는 과학적 증거 때문입니다.",클로르피리포스가 어린이의 뇌발달 손상을 야기할 수 있다는 과학적 근거에 부실하게 대응했기 때문임.
303,SANGJU SAENURI GOTGAM의 감 제품이 부적합 판정을 받은 이유는 무엇인가요?,SANGJU SAENURI GOTGAM의 감 제품이 부적합 판정을 받은 구체적인 이유는 공개되지 않았습니다.,"유해 농약이 함유된 농산품으로, 식의약화장품법 관련 조항 402(a)(2)(B), 801(a)(3)에 의거하여 변질로 인한 부적합 판정을 받았습니다."
304,스코틀랜드 식품기준청이 경고한 암 유발 화학물질은 무엇인가?,"스코틀랜드 식품기준청이 경고한 특정 암 유발 화학물질에 대한 직접적인 최근 언급은 확인되지 않았습니다. 일반적으로 암 유발 화학물질에 대한 경고는 특정 물질에 따라 다르므로, 더 구체적인 정보나 물질명이 필요합니다. 만약 특정 물질에 대한 정보가 필요하시다면 알려주세요.",아크릴아마이드
305,과불화옥탄산(PFOA)과 과불화옥탄술폰산(PFOS)이 건강에 미치는 영향은 무엇인가?,"과불화옥탄산(PFOA)과 과불화옥탄술폰산(PFOS)은 발암 가능성, 간 손상, 면역 체계 약화, 그리고 발달 중인 태아의 성장 장애와 같은 건강 문제를 일으킬 수 있습니다.","이들 오염물질은 사춘기를 촉진시키고 유방발달을 지연시키며 간에 유해, 콜레스테롤 증가, 정자의 질 저하 그리고 심지어는 암을 일으킨다고 알려져 있음."
306,쉽크릭 지역의 생선 섭취에 대한 권고 사항은 무엇인가요?,쉽크릭 지역에서 생선 섭취 시 수은 오염 가능성을 고려하여 주 1~2회 이하로 제한하는 것이 좋습니다.,"쉽크릭 지역의 생선 섭취를 피할 것이 권고되며, 드물게 섭취하는 것은 건강에 위험을 초래하지 않음. (몇 개월 마다: 6살 이하 어린이 75g, 그 외 150g)"
307,"Lovebiotics, LLC가 회수 중인 코코넛밀크 요거트의 회수 사유는 무엇인가요?","Lovebiotics, LLC가 회수 중인 코코넛밀크 요거트의 구체적인 회수 사유는 제공된 정보에서 확인할 수 없습니다. 추가 정보가 필요합니다.",알레르기 유발성분 표시에 카제인나트륨을 기재했으나 알레르기 유발성분인 우유를 추가 명시하지 않음
308,"McEvoy of Marin, LLC.가 회수 중인 제품의 이름은 무엇인가요?",회수 중인 특정 제품 이름은 공개되지 않았습니다.,cEvoy Ranch 100% Certified Extra Virgin Olive Oil
309,Rich Products Corp가 회수한 VANILLA WHIPPED ICING ARTIFICALLY FLAVORED 제품의 회수 사유는 무엇인가요?,Rich Products Corp가 회수한 VANILLA WHIPPED ICING ARTIFICIALLY FLAVORED 제품의 구체적인 회수 사유는 공개되지 않았습니다. 회수 사유에 대한 자세한 정보는 해당 기업이나 관련 당국의 공식 발표를 참고하시기 바랍니다.,세척용 화학물질 오염 가능성
310,Kingston Pharma LLC가 회수 중인 제품의 이름은 무엇인가요?,Kingston Pharma LLC가 회수 중인 특정 제품 이름은 공개되지 않았습니다. 정확한 제품 정보는 공식 발표를 통해 확인해야 합니다.,"Live Better Drug Free Black Elderberry Syrup, 4 FL OZ (118 mL)"
311,DNP를 함유한 체중감량제를 섭취하면 어떤 위험이 있나요?,"DNP(2,4-Dinitrophenol)를 함유한 체중감량제는 신진대사를 증가시켜 체중 감소를 유발할 수 있지만, 심각한 부작용으로는 심장 문제와 간 손상 위험이 있습니다.","DNP를 함유한 체중감량제를 섭취하면 체온이 높아져 중증 건강 문제가 발생할 수 있으며, 다량의 발한, 빠른 심박과 호흡, 급성 발작, 코마, 심지어 사망에 이를 수 있습니다."
