id,질문,예상답변,정답,제목,gold문서
43,미국 의원들이 FDA에 지침 초안 사용 중단을 요구한 이유는 무엇인가?,미국 의원들은 FDA의 지침 초안이 법적 구속력이 없음에도 불구하고 식품업계에 혼란을 주고 있어 사용 중단을 요구했습니다.,"지침 초안이 법적 구속력이 없음에도 불구하고, 식품업계들이 소송에 휘말리게 되어 혼란을 초래하고 있기 때문이다.","미국 의원, FDA에 소비자와 업체에 혼란을 주는 지침 초안 사용 중단할 것 요구","미국 의원, FDA에 소비자와 업체에 혼란을 주는 지침 초안 사용 중단할 것 요구 미국 의원들은 식품의약품청(FDA) 청장 마가렛 햄버그(Margaret Hamberg)에게 ""실질적 정책 개정""을 위한 지침 초안의 사용에 관한 우려를 담은 서안을 보냈음. 지침 초안이 법적 구속력이 없음에도, 이로 인해 수많은 소송건에 휩싸인 몇몇 식품업계들이 생겨나 의원들은 이에 관한 우려를 갖기 시작했음. 그 예로는 '탈수사탕수수즙(evaporated cane juice, ECJ)' 소송을 들 수 있음. 최근 FDA의 ECJ에 관한 언급에서 초바..."
44,캐나다에서 판매가 허가된 전통중국의약품은 몇 개나 되나요?,캐나다에서 판매가 허가된 전통중국의약품은 3천 여개 이상입니다.,현재 캐나다에서 판매가 허가된 전통중국의약품은 3천 여개 이상임.,"캐나다 보건부, 전통중국의약품 자문회의 참여 (식품형태의 전통중국의약품 논의)","캐나다 보건부, 전통중국의약품 자문회의 참여 (식품형태의 전통중국의약품 논의) 캐나다 보건부 장관은 전통중국의약품(TCM) 자문회와 만나 캐나다에서의 전통중국의약품에 관해 이야기를 나누었음. 회의에서는 최근 전통중국의약품 제도를 비롯해 동물용 전통중국의약품, 식품형태로 수입, 판매되는 전통중국의약품(예: 인삼 및/또는 기타 전통중국의약품 허브를 함유한 음료)을 개괄적으로 다루었음.  자문회는 캐나다에서 새로이 뜨고 있는 각종 전통중국의약품 사안들에 대해  보건부에 자문을 전달하기 위해 지난 2012년 1월에 발족되었음. 자문회는 또..."
45,미국 하원이 농업법 투표를 언제 실시할 것으로 예상되나요?,미국 하원이 농업법 투표를 실시할 것으로 예상되는 시기는 이르면 금주 수요일입니다..,이르면 금주 수요일(현지 시각)에 투표를 실시할 전망임.,"미국 의회, 금주 내 농업법 투표 완료 전망","미국 의회, 금주 내 농업법 투표 완료 전망 미국 하원이 이르면 금주 수요일(현지 시각) 농업법(Farm Bill) 투표를 실시할 전망임. 하원 다수당 당수가 작성한 금주 일정에 따르면, 처리가 지연되고 있는 해당 법안이 마침내 협의회 보고서의 형태로 투표가 실시될 것으로 보임. 양원 협의회 소집 요청이 내려진 가운데, 하원 농업위원회 의장은 투표 전, 협의가 이루어질 것으로 예상된다는 의견을 피력함.  수요일 투표가 실시되려면 월요일까지 협의회 보고서가 제출되어야 하며, 이것이 완료될 경우 협의회 구성원들의 투표가 실시됨. 양원 ..."
46,노르웨이에서 DNP 성분이 함유된 제품을 왜 경고하고 있나요?,노르웨이 의약품청은 DNP 성분이 함유된 제품이 체내에 다량 축적되어 사망 사례가 발생했기 때문에 경고하고 있음.,노르웨이 의약품청은 DNP 성분이 한 남성의 죽음과 관련이 있다는 것을 확인한 후 경고하고 있습니다.,"노르웨이, 남성 1명 사망 후 체충감량제품의 DNP(2,4 Dinitrophenol)에 대해 경고","노르웨이, 남성 1명 사망 후 체충감량제품의 DNP(2,4 Dinitrophenol)에 대해 경고 노르웨이 의약품청(NMA)은 체중감량제 제품에 함유되어 있는 DNP(2,4-Dinitrophenol)성분이 한 남성의 죽음과 관련이 있다는 것을 확인한 후 해당 물질에 대해 경고함.  NMA에 따르면 11월에 사망한 남성의 사인이 DNP 성분과 관련이 있다는 것을 확인하였음. 해당 사건은 노르웨이에서는 처음 확인된 경우지만 이미 영국과 스웨덴에서는 다른 사망 사건들이 보고된 바 있음.  DNP(2,4 Dinitrophenol)는 주로 ..."
47,Jensen Cheese 브랜드 Old Cheddar Cheese의 회수 사유는 무엇인가요?,리스테리아 오염 가능성.,리스테리아 오염 가능성,"[회수]캐나다 A.M. Jensen Ltd., 리스테리아 오염 가능성으로 체다치즈 회수","[회수]캐나다 A.M. Jensen Ltd., 리스테리아 오염 가능성으로 체다치즈 회수 - 회수일시: 2014.2.10- 유통지역: * 판매처(주소지 포함)와 판매일은 해당 링크 참조- 제품명: Jensen Cheese 브랜드 Old Cheddar Cheese (white) (체다치즈, 판매중량 다양, 코드 2313.197, 2313.297, UPC 다양 또는 없음)- 회수사: A.M. Jensen Ltd.- 회수사유: 리스테리아 오염 가능성- 기타: 관련 질병피해 보고 없음. 일부 제품 포장에는 브랜드명이 기재되어 있지 않을 수 ..."
48,제18차 생과채류 분과위원회 회의는 언제 열렸나요?,제18차 생과채류 분과위원회 회의는 2014년 2월 24일부터 28일까지 열렸습니다.,2014년 2월 24일부터 28일까지 열렸습니다.,"CODEX, 제18차 생과채류 분과위원회 회의 보고서 공개","CODEX, 제18차 생과채류 분과위원회 회의 보고서 공개 국제식품규격위원회(CODEX)는 2014년 2월 24일부터 28일까지 태국 푸켓에서 열린 제18차 생과채류 분과위원회의 회의보고서를 공개함. 동보고서는 2014년 7월 14일부터 18일까지 열릴 제37차 CODEX 총회에서 다루어질 예정임. 주요 내용은 다음과 같음. * 제37차 CODEX 총회 채택 안건CODEX 규격 설정 절차 중 8단계와 5/8단계에서 채택할 기준 초안 1. 시계꽃 열매(Passion Fruit) 규격안 2. 두리안(Durian) 규격안 3. 오크라(O..."
49,"월마트와 슈퍼밸류, 월그린이 합의한 글루코사민 보충제 소송의 이유는 무엇인가?","월마트와 슈퍼밸류, 월그린은 글루코사민 보충제가 과학적으로 입증되지 않은 효과를 강조표시로 소비자를 기만했다는 이유로 소송에 합의했습니다.",글루코사민 보충제가 과학적으로 입증되지 않은 강조표시로 소비자를 기만했다는 이유로 소송이 제기되었음.,"미국 월마트 등 유통업체, 소비자 오인 유발한 글루코사민 표시 소송에 합의","미국 월마트 등 유통업체, 소비자 오인 유발한 글루코사민 표시 소송에 합의 월마트(사)와 슈퍼밸류(사), 월그린(사), 그리고 이들 기업이 소유한 상점은 Perrigo(사)(사우스 캐롤라이나 소재)가 제조하고 자신들이 판매한 여러 글루코사민 보충제에 관한 소비자들의 소송에 합의했음. 원고는 글루코사민이 과학적으로 입증되지 않은 강조표시로 소비자를 기만했다며 소송을 제기함. 이들 제품은 관절통증을 완화하고 관절을 보호하며 심지어 재건한다고 표시되었음. 이번 소송은 업체가 원고에 합의금을 지불하는 방식으로 마무리 됨...."
50,잭슨카운티의 GMO 작물 경작 금지 조례는 언제 발효되나요?,잭슨카운티의 GMO 작물 경작 금지 조례는 2015년 6월 6일에 발효됨.,2015년 6월 6일부로 발효됩니다.,"미국 오리건주 잭슨카운티 GMO 알팔파 재배농민, GMO 경작 중단안 시행으로 카운티 소송","미국 오리건주 잭슨카운티 GMO 알팔파 재배농민, GMO 경작 중단안 시행으로 카운티 소송 미국 오리건주 잭슨카운티의 유전자 변형(GMO) 알팔파를 재배하는 두 명의 농민이 유전자 변형 작물을 더 이상 경작하지 않기로 5월에 통과된 규제를 철회하기 원하고 있음.  잭슨카운티 순회법원에 제기된 소송에 따르면, 이 조례가 오리건의 농민법 권리(Oregon's Right to Farm Act)에 의거해 시행되어서는 안된다고 주장함. 또한, 법적 분쟁이 진행되는 동안 조례 집행을 중단할 명령을 내려줄 것을 요구했음. 오리건의 농민법 권리는..."
51,웨일즈농민연합은 육류 원산지 표시 결의안 통과를 위해 어떤 정부에 압력을 가할 것을 요청했나요?,웨일즈농민연합은 유럽 위원회에 압력을 가할 것을 요청했습니다.,카디프와 웨스트민스터 지역 정부에 압력을 가할 것을 요청했습니다.,"영국 웨일즈농민연합, EU 육류 제품 원산지 표시 결의안 환영","영국 웨일즈농민연합, EU 육류 제품 원산지 표시 결의안 환영 영국 웨일즈농민연합(NFU Cymru) 가축위원회 의장 린든 에드워즈(Lyndon Edwards)는 EU 의회의 육류 제품 원산지 표시 결의안을 환영한다고 밝힘. 유럽에서 도축된 육류의 30~50%가 가공식품 재료로 사용되는 것으로 추정되기 때문에 육류 원산지 표시가 필수적임. 웨일즈 농민연합은 해당 결의안이 EU 의회에서 통과될 수 있도록 유럽 위원회에 압력을 가할 것을 카디프(Cardiff)와 웨스트민스터(Westminster) 지역 정부에 요청함...."
52,코카콜라사는 환타 TV 광고와 앱을 왜 삭제했나요?,코카콜라(사)는 환타 TV 광고와 앱을 삭제한 이유는 호주광고기준위원회의 결정에 따라 어린이를 주로 겨냥한 캠페인이라는 판단 때문임.,환타 TV 광고와 앱이 어린이 비만을 막기 위한 광고기준 지침을 위반했기 때문에 삭제했습니다.,"호주 ‘환타’ TV 광고 및 앱, 광고 기준 위반해","호주 ‘환타’ TV 광고 및 앱, 광고 기준 위반해 코카콜라(Coca-Cola)(사)의 환타(Fanta)는 TV 광고와 앱(app)이 어린이 비만을 막기 위한 광고기준 지침을 위반한다는 것을 안 뒤 해당 광고와 앱을 삭제했음.  ‘Fanta Tastes Like’ 캠페인은 거품 수영장에 뛰어들기, 롤러코스터 타기 등 재미있는 활동에 참여하는 만화 캐릭터들을 보여줌. 환타는 해당 캠페인이 15-17세의 십대를 겨냥한 것이라고 밝혔으나 호주광고기준위원회(Australian Advertising Standards Board)는 주로 어린..."
53,Kam Wah Resources Co. Ltd.가 회수한 Coconut Juice의 회수일시는 언제인가요?,Kam Wah Resources Co. Ltd.가 회수한 Coconut Juice의 회수일시는 2015년 10월 19일입니다.,2015.10.19,"[회수]캐나다 Kam Wah Resources Co. Ltd., 알레르기 유발성분 우유 미표시한 코코넛즙 회수","[회수]캐나다 Kam Wah Resources Co. Ltd., 알레르기 유발성분 우유 미표시한 코코넛즙 회수 - 회수일시: 2015.10.19- 유통지역: Manitoba, Ontario 소매점- 제품명: Coconut Juice (*브랜드명 없음, 중국어로만 표기, 1.25 l, UPC 6 927157 682160)- 회수사: Kam Wah Resources Co. Ltd...."
54,Asda에서 회수된 제품 중 'Asda Chosen by you 4 Free From White Pitta Breads'의 최적소비기한은 언제인가요?,"최적소비기한은 2015년 6월 26일, 30일, 그리고 7월 2일입니다.","2015.06.26, 2015.06.30, 2015.07.02","[회수]영국 Asda 등 5개(사), 글루텐 함유 가능성으로 '글루텐 미포함' 제품 여러종 회수","[회수]영국 Asda 등 5개(사), 글루텐 함유 가능성으로 '글루텐 미포함' 제품 여러종 회수 - 일시: 2015.06.07.- 제품명, 최적소비기한 1. Asda(사)  1) Asda Chosen by you 4 Free From White Pitta Breads, 2015.06.26/ 2015.06.30/ 2015.07.02, 바코드: 505244989731  2) Asda Chosen by you 2 Free From Garlic  Coriander Naan Breads, 2015.07.03/ 2015.07.07/ 2015...."
55,Selwyns Seaweed Ltd에서 회수한 Seaweed Snack Honey Sesame의 유통기한은 언제인가요?,"해당 문서에 따르면, Seaweed Snack Honey Sesame의 유통기한은 2016년 7월 29일입니다.",2016.7.29,"[회수]영국 Selwyns Seaweed Ltd, 알레르기 유발성분인 이산화황 미표시한 과자류 회수","[회수]영국 Selwyns Seaweed Ltd, 알레르기 유발성분인 이산화황 미표시한 과자류 회수 - 일시: 2015.8.7- 지역: -- 제품명: Seaweed Snack Honey  Sesame (4g, 유통기한 2016.7.29, - 회수사: Selwyns Seaweed Ltd- 회수사유: 알레르기 유발성분인 이산화황 미표시..."
56,보이시 협동조합의 델리 코너에서 어떤 식품이 살모넬라에 오염되었나요?,"보이시 협동조합의 델리 코너에서 토마토, 양파, 생칠면조가 살모넬라에 오염되었습니다.","토마토와 양파, 생칠면조가 오염되었습니다.","미국 보이시 협동조합 살모넬라 식중독, 생칠면조가 원인일 수도","미국 보이시 협동조합 살모넬라 식중독, 생칠면조가 원인일 수도 미국 아이다호주 중앙지역보건부가 '보이시 협동조합(Boise Co-op)'을 6월 15일 실험 검사한 결과, 델리 코너에서 가져온 여러 식품에서 살모넬라가 검출된 사실을 전달했음.  업체는 이러한 소식을 접한 직후 델리 코너를 자발적으로 폐쇄하고, 해당 구역에서 조제된 식품을 전량 폐기했음. 그 밖에 예방 차원에서 6월 1일 이후 델리 코너에서 구매한 식품을 폐기토록 했음.  당국에 따르면, 토마토와 양파, 생칠면조 등이 오염되어 있었음. 이들 제품은 델리코너 뿐 아니라..."
57,오하이오 교회에서 발생한 식중독의 원인은 무엇인가?,집에서 만든 감자 통조림이 식중독의 원인일 가능성이 높음.,집에서 만든 감자 통조림을 넣은 감자 샐러드가 원인일 가능성이 있음.,"미국 교회 집단 식중독, 가정서 만든 감자 통조림일 가능성 농후","미국 교회 집단 식중독, 가정서 만든 감자 통조림일 가능성 농후 미국 오하이오 공중보건당국은 27일(현지시간), 집에서 만든 감자 통조림을 넣은 감자 샐러드가 최근 '크로스 포인트 프리 윌' 침례교회에서 발생한 보툴리눔 중독 식중독의 원인일 가능성이 있다고 발표했음(*). 실험실 검사 결과와 참석자 면담을 통해 이 같은 결론을 도출했음.  주 보건부는 이번 사건으로 여성 1명이 사망하고, 보툴리눔 중독 확진 환자가 21명이였다고 밝혔음. 의심 환자도 10명 집계된 상태임.  (*)오하이오 보건부 보도자료 http://www.myfd..."
58,Good Earth Egg사의 양계 시설에서 검출된 균은 무엇인가요?,살모넬라균입니다.,살모넬라,"미국 미주리, 'Good Earth Egg(사)' 양계장서 살모넬라 확인","미국 미주리, 'Good Earth Egg(사)' 양계장서 살모넬라 확인 미국 미주리 보건노인복지부는 보네 테르(Bonne Terre) 지역의 한 양계 시설에서 살모넬라가 검출되었다고 밝혔음.  당국에 따르면, 최근 'Good Earth Egg(사)' 가공시설을 검사한 결과, 검체에서 살모넬라균이 검출되어, 해당 시설에 대해 세척 및 검체 재채취 이전까지 폐쇄하도록 명령했음.  미주리 보건노인복지부는 해당 시설에서 생산된 난류는 165도 이상에서 완숙해 먹어야 하며, 날달걀이 즉석섭취식품에 교차오염되지 않도록 주의하고, 달걀을 취급..."
59,프랑스 도르도뉴 지역에서 발생한 고병원성 조류인플루엔자 H5N2의 감염 건수는 몇 건인가?,프랑스 도르도뉴 지역에서 발생한 고병원성 조류인플루엔자 H5N2의 감염 건수는 1건입니다..,1건,"세계동물보건기구, 고병원성 조류인플루엔자 동물 감염 현황 (12.3)","세계동물보건기구, 고병원성 조류인플루엔자 동물 감염 현황 (12.3) 세계동물보건기구(OIE)는 고병원성 조류인플루엔자에 감염된 동물 현황을 다음과 같이 발표함.  1. 프랑스, H5N2 (event2) (긴급통보, 2015.12.2)- 발생일: 2015.11.27- 발생지역: 도르도뉴(Dordogne) (자세한 지역은 원문 참조)- 발생규모:1) 조류: 의심 1338 건, 감염건수 1건, 폐사 1건, 폐기 1337건, 도축 0건 2. 베트남(event7), H5N1 (후속보고서 제3호, 2015.12.3)- 발생일: 2015.11..."
60,미국 환경보호청이 마련한 식수 중 조류 독소의 건강경보기준은 무엇인가?,"미취학 아동의 경우 마이크로시스틴은 식수 1 리터 당 0.3 마이크로그램, 실린드로스페르몹신은 0.7 마이크로그램이며, 전 연령대는 마이크로시스틴이 식수 1 리터 당 1.6 마이크로그램, 실린드로스페르몹신은 3.0 마이크로그램임.","미취학 아동의 경우 마이크로시스틴은 식수 1리터 당 0.3 마이크로그램, 실린드로스페르몹신은 0.7 마이크로그램이며, 전 연령대는 마이크로시스틴 1.6 마이크로그램, 실린드로스페르몹신은 3.0 마이크로그램이다.","미국 환경보호청, 식수 중 조류독소 주의경보기준 마련","미국 환경보호청, 식수 중 조류독소 주의경보기준 마련 미국 환경보호청(EPA)은 주와 수도시설이 식수 중 조류 독소 수치가 높을 때 활용할 수 있는 건강경보기준을 마련했음. 강이나 호수, 만에 발생하는 녹조는 유해 독소를 생성할 수도 있음. 수도시설에서 이러한 수계를 식수의 수원으로 이용한다는 점에서, 청은 인체 건강을 보호하고자 수돗물의 조류독소 기준과 수도시설이 식수 중 조류 독소를 모니터링 및 처리하는 방법을 마련하고, 기준치를 초과한 식수는 일반에 통지하고 있음.  청은 기온이 높아져 녹조가 가장 많이 발생하는 여름이 오기 ..."
61,유럽식품안전청(EFSA)이 샘플기반 데이터모델을 잔류 동물용의약품(VMP) 분야까지 확대 시행하는 이유는 무엇인가?,EFSA는 샘플기반 데이터모델을 잔류 동물용의약품 분야까지 확대 시행하여 유럽연합 집행위원회와 회원국들이 잔류 동물용의약품에 대한 노출 및 위해평가를 용이하게 관리할 수 있게 하기 위함입니다. 해당 모델은 데이터 수집을 표준화하여 통계 분석과 양적 노출·위해평가를 가능하게 함으로써 더 정확한 위해관리 기준을 도출하는 데 도움을 줍니다.,샘플기반 데이터모델을 잔류 동물용의약품(VMP) 분야까지 확대 시행하는 이유는 EFSA와 유럽연합 집행위원회의 잔류 VMP 위해평가·관리를 용이하게 하기 위함이다.,"유럽식품안전청, 샘플기반 데이터보고모델 동물 및 축산물 내 잔류 동물용의약품까지 확대시행","유럽식품안전청, 샘플기반 데이터보고모델 동물 및 축산물 내 잔류 동물용의약품까지 확대시행 유럽식품안전청(EFSA)는 표준화된 기술요소를 이용한 샘플기반 데이터모델을 동물 및 축산물 내 잔류 동물용의약품(VMP) 분야까지 확대시행키로 함. 해당 보고모델은 식품첨가물, 화학오염물질, 잔류농약, 항균제 내성 등에 관하여 유럽연합 회원국의 데이터를 수집하는 데 이용되고 있음.현재 잔류 VMP 모니터링 결과는 매해 유럽연합 집행위원회의 데이터베이스에 보고된 후 EFSA 연차 보고서를 통해 발표되고 있으나, 복합적 통계분석이나 양적 노출·위해..."
62,생고기를 안전하게 섭취하려면 어떻게 해야 하나요?,모든 방향에서 열기가 나고 육즙이 흐르지 않을 때까지 육류를 완전히 익혀야 안전합니다.,가장 안전한 육류 섭취 방법은 모든 방향에서 열기가 나고 육즙이 흐르지 않을 때까지 육류를 완전히 익히는 것입니다. 가열 조리 시 박테리아를 박멸할 수 있습니다.,"영국, 생고기에 존재할 수 있는 슈퍼박테리아의 위험성 경고","영국, 생고기에 존재할 수 있는 슈퍼박테리아의 위험성 경고 정부 의뢰 보고서 '항생제 내성 검토'에 따르면 농업에서 항상제 과다 사용으로 인해 우리가 섭취하는 육류에 항생제 내성이 있는 박테리아 균주가 잠복하고 있을 수 있음. 만약 육류를 생으로 또는 덜 익힌 상태로 섭취할 경우 비록 작을지라도 치료가 어려운 질병에 감염될 위험이 있음.   [육류가 안전한지 확인하는 방법은?]가장 안전한 육류 섭취 방법은 모든 방향에서 열기가 나고 육즙이 흐르지 않을 때까지 육류를 완전히 익히는 것임. 가열 조리 시 박테리아를 박멸할 수 있음. 조..."
63,ILGWANG BAKERY의 HARD CANDY WITH FRUIT 제품이 미국 FDA에 의해 부적합 판정을 받은 이유는 무엇인가?,해당 제품이 유해색소(721(a)절에 의거한)가 포함되었을 가능성이 있어 부적합 판정을 받았음.,유해 색소첨가물이 포함되었을 가능성이 있어 721(a)절에 의거하여 부적합 판정을 받았다.,"미국 FDA, 8월 식품수입부적합 목록(25)","미국 FDA, 8월 식품수입부적합 목록(25) -제조사식별번호: 3010142372-제조사명: ILGWANG BAKERY-주소지 1: 326-1 SIN-PEONG-주소지 2: SA-HA-GU-도시명: 부산-지역명: 부산-국가: 대한민국-제품코드: 33CGT99-부적합일자: 42227-FDA 지역사무소: LOS-DO-통관 식별번호: ATE-0248874-8-참고문서 ID: 30-라인번호: 1-라인 ID: -검체분석: 아니오-사설실험실분석: 아니오-부적합항목: 유해색소 - 721(a)절에 의거한 유해 색소첨가물이 포함되었을 가능성이 있..."
64,LOTTE BAKERY INC의 제품이 미국 FDA에 의해 부적합 판정을 받은 이유는 무엇인가?,LOTTE BAKERY INC의 제품이 미국 FDA에 의해 부적합 판정을 받은 이유는 유해색소가 첨가되었을 가능성이 있기 때문입니다.,유해색소 - 721(a)절에 의거한 유해 색소첨가물이 포함되었을 가능성이 있음.,"미국 FDA, 8월 식품수입부적합 목록(7)","미국 FDA, 8월 식품수입부적합 목록(7) -제조사식별번호: 3010118203-제조사명: LOTTE BAKERY INC-주소지 1: 266 GEO-JE-DAE-RO-주소지 2: YEON-JE-GU-도시명: 부산-지역명: 부산-국가: 대한민국-제품코드: 33CGT99-부적합일자: 42227-FDA 지역사무소: LOS-DO-통관 식별번호: ATE-0248874-8-참고문서 ID: 19-라인번호: 1-라인 ID: -검체분석: 아니오-사설실험실분석: 아니오-부적합항목: 유해색소 - 721(a)절에 의거한 유해 색소첨가물이 포함되었을 가..."
65,Chandraprabha Vati 제품에서 검출된 중금속은 무엇인가요?,Chandraprabha Vati 제품에서 검출된 중금속은 납입니다.,납,"캐나다 보건부, 중금속 검출된 아유르베다 치료제품 경고(3)","캐나다 보건부, 중금속 검출된 아유르베다 치료제품 경고(3) 캐나다 보건부는 인체건강에 위험할 수 있는 다량의 중금속이 함유된 사실이 발견된 여러 아유르베다 치료제품에 대해 경고함. 이들 제품은 캐나다에서 판매를 허가하지 않은 제품들로 캐나다 시장에서는 발견되지 않았으나 여행객이 소지해 들여오거나 인터넷으로 구매했을 가능성이 있음.  캐나다 보건부는 이들 제품을 소비한 이후 중금속 중독으로 치료를 받은 한 명의 소비자에 관한 캐나다 보고서를 받았음. 보고서에 따르면, 이 소비자는 미국 웹사이트에서 개인적으로 제품을 구매했다고 함. ..."
66,Zakuson Inc.에서 회수한 Roasted Buckwheat 제품의 회수 사유는 무엇인가요?,회수 사유는 흙 및 돌과 같은 이물이 포함되어 있었기 때문입니다.,이물- 흙 및 돌,"[회수]캐나다 Zakuson Inc., 이물 검출로 구운메밀 회수","[회수]캐나다 Zakuson Inc., 이물 검출로 구운메밀 회수 - 일시: 2015.11.10.- 지역: 앨버타, 브리티시컬럼비아, 온타리오, 퀘벡주 소매점- 제품명: Roasted Buckwheat (*러시아어 표기제품, 908 g, 제품코드 P.D. 04.09.2015; E.D. 04.09.2017, UPC 8 38396 00049 2)- 회수사: Zakuson Inc.- 회수사유: 이물- 흙 및 돌..."
67,Pinty's Pub Grill 브랜드의 Chicken Parmesan 제품의 회수 이유는 무엇인가요?,해당 문서에 없음.,플라스틱 조각 혼입,"[회수]캐나다 Pinty's Delicious Foods Inc., 플라스틱 조각 혼입으로 닭고기가공품 회수","[회수]캐나다 Pinty's Delicious Foods Inc., 플라스틱 조각 혼입으로 닭고기가공품 회수 - 회수일시: 2015.4.2.- 유통지역: 전국 소매점 - 제품명:Pinty's Pub  Grill 브랜드, Chicken Parmesan, 910 g, 제품코드 2015 DE 05, UPC 0 69094 62513 1  - 회수사: Pinty's Delicious Foods Inc.- 회수사유: 플라스틱 조각 혼입..."
68,PC Free From 브랜드 Italian Chicken Meatballs의 회수 사유는 무엇인가요?,PC Free From 브랜드 Italian Chicken Meatballs의 회수 사유는 뼈조각이 함유되어 있기 때문입니다.,뼈조각 함유,"[회수]캐나다 Loblaw Companies Limited, 뼈조각 함유한 미트볼 회수","[회수]캐나다 Loblaw Companies Limited, 뼈조각 함유한 미트볼 회수 - 회수일시: 2015.9.28.- 유통지역: 캐나다 전역 소매점- 제품명: PC Free From 브랜드 Italian Chicken Meatballs (800 g, 소비기한 2016JA12, UPC 0 60383 14310 7)- 회수사: Loblaw Companies Limited- 회수사유: 뼈조각 함유..."
69,Heston Supper Club에서 회수한 Horseradish 제품의 사용기한은 언제인가요?,해당 제품의 사용기한은 2015년 9월 16일입니다.,9/16,"[회수]미국 Heston Supper Club, 플라스틱 조각 검출된 서양고추냉이 회수","[회수]미국 Heston Supper Club, 플라스틱 조각 검출된 서양고추냉이 회수 - 회수일시: 2015.12.23- 유통지역: 인디애나주 라포르테 카운티 'Al's Supermarkets' 매장 (판매일 2015.10.27~12.22)- 제품명: Horseradish, 16 oz (서양고추냉이, 플라스틱 용기, 코드시작번호 3005, 사용기한 9/16)- 회수사: Heston Supper Club- 회수사유: 인디애나주 라포르테 카운티 보건부는 제품에서 플라스틱 조각들이 검출되었다고 보도함...."
70,TESCO가 회수한 No Added Sugar Double Concentrate Apple and Blackcurrant squash 제품에서 어떤 냄새가 난다고 하나요?,해당 문서에 따르면 마늘 냄새 같이 강한 냄새가 난다고 합니다.,마늘 냄새 같이 강한 냄새가 난다고 합니다.,"[회수]영국 TESCO, 악취가 난다는 소비자 신고로 과일음료 회수","[회수]영국 TESCO, 악취가 난다는 소비자 신고로 과일음료 회수 - 일시: 2015.1.28.- 제품명: No Added Sugar Double Concentrate Apple and Blackcurrant squash(1.5 L)- 회수사: TESCO - 회수사유: 한 소비자가 악취가 난다고 신고함.- 기타: TESCO(사)는 승인된 첨가물인 '이황화메틸(Dimethyl Disulphide)'이 잘못 첨가된 것이 원인이며 마늘 냄새 같이 강한 냄새가 나지만 건강상 위험은 없다고 밝힘. 그러나 웹사이트에 세부 사항을 게시하지 않..."
71,WHO의 발표 이후 영국에서 베이컨 매출액은 얼마나 감소했나요?,11월 첫째 주에 베이컨 매출액은 16.5% 감소했습니다.,"WHO 발표 이후 10월 말 기준으로 사전포장 베이컨 매출액은 17% 감소하였고, 11월 첫째 주에는 16.5% 감소하였습니다.","영국, WHO 발표 이후 베이컨 및 소시지 판매 감소","영국, WHO 발표 이후 베이컨 및 소시지 판매 감소 세계보건기구(WHO)에서 가공육을 발암 물질로 분류한 이후 영국에서 베이컨 및 소시지 판매가 감소하였음. 시장분석 업체 IRI 조사에 따르면 WHO의 결정이 발표된 후 2주 동안 소비자들이 해당 사실을 인지하고 가공육 섭취의 건강상 영향을 고려한 결과 영국 전역 슈퍼마켓의 소시지 및 베이컨 매출액은 약 3백만 파운드 감소하였음.  10월 말, 작년 같은 기간에 비해 사전포장 소시지 매출액은 15.7% 감소했고, 사전포장 베이컨은 17% 감소하였음.  11월 첫째 주 베이컨 매출액..."
72,뉴질랜드와 베트남 간 식품안전협력협정은 어떤 목표를 가지고 있나요?,뉴질랜드와 베트남 간 식품안전 협력 강화 협정의 목표는 양국의 규제 시스템 간의 인식 및 일관성 증진이다.,양국의 규제 시스템 간의 인식 및 일관성 증진을 목표로 합니다.,"뉴질랜드와 베트남, 식품안전협력협정 서명","뉴질랜드와 베트남, 식품안전협력협정 서명 뉴질랜드 식품안전부 장관은 뉴질랜드와 베트남 간 식품안전 협력 강화를 위한 협정을 환영했음. 뉴질랜드 일차산업부와 베트남 농업농촌개발부의 식품안전협력협정은 양국의 규제 시스템 간의 인식 및 일관성 증진을 목표로 함. 장관은 “이 협정은 뉴질랜드와 베트남의 쌍방 관계 40주년을 기념하여 나온 것이다. 이는 베트남으로의 무역을 신장시키고, 나아가 양국 간 강한 유대관계를 발전시키는 중요한 단계이다.”라고 말했음. 뉴질랜드 총리 John Key와 베트남 총리 Nguyen Tan Dung가 협정에 ..."
73,랜쵸 피딩(사) 도축공장은 왜 영업을 중단했나요?,랜쵸 피딩(사) 도축공장은 불량 판정을 받은 고기를 가공하고 유통한 혐의로 인해 영업을 중단했음.,랜쵸 피딩(사) 도축공장은 소고기 870만 파운드를 회수한 뒤 영업을 중단했습니다.,"미국 랜쵸 피딩(사) 피고인, 도축장에서의 부정행위 시인","미국 랜쵸 피딩(사) 피고인, 도축장에서의 부정행위 시인 캘리포니아주 페탈루마에 소재한 도축공장의 관리인 4명이 대규모 소고기 회수와 관련해 그 혐의를 인정했음. 이들은 안암에 걸린 젖소의 머리를 절단해 검사관이 그 상태를 적발해낼 수 없도록 한 혐의를 인정했다고 관련 당국이수요일(현지 시각) 전했음. 이 도축공장은 랜쵸 피딩(사)로 작년 소고기 870만 파운드를 회수한 뒤 영업을 중단했음.  사장이자 총관리인인 제시 아라말 쥬니어(77세)는 2012년부터 2014년 미 농무부 수의사로부터 불량판정을 받은 젖소를가공하도록 직원들에게..."
